"tick","UAV-UAV","Manned-Manned","UAV-Manned"
1.0,0,0,0
4.0,0,0,0
7.0,0,0,0
10.0,0,0,0
13.0,0,0,0
16.0,0,0,0
19.0,0,0,0
22.0,26,0,0
25.0,53,0,0
28.0,80,0,0
31.0,106,0,0
34.0,126,0,0
37.0,147,0,0
40.0,162,0,0
43.0,172,0,0
46.0,180,0,0
49.0,186,0,0
52.0,190,0,0
55.0,190,0,0
58.0,191,0,0
61.0,192,0,0
64.0,193,0,0
67.0,194,0,0
70.0,194,0,0
73.0,194,0,0
76.0,194,0,0
79.0,194,0,0
82.0,194,0,0
85.0,195,0,0
88.0,196,0,0
91.0,196,0,0
94.0,196,0,0
97.0,196,0,0
100.0,196,0,0
103.0,196,0,0
106.0,196,0,0
109.0,196,0,0
112.0,196,0,0
115.0,196,0,0
118.0,197,0,0
121.0,197,0,0
124.0,197,0,0
127.0,197,0,0
130.0,197,0,0
133.0,197,0,0
136.0,197,0,0
139.0,197,0,0
142.0,197,0,0
145.0,197,0,0
148.0,197,0,0
151.0,198,0,0
154.0,198,0,0
157.0,198,0,0
160.0,198,0,0
163.0,198,0,0
166.0,198,0,0
169.0,198,0,0
172.0,198,0,0
175.0,198,0,0
178.0,198,0,0
181.0,198,0,0
184.0,199,0,0
187.0,199,0,0
190.0,199,0,0
193.0,199,0,0
196.0,199,0,0
199.0,199,0,0
202.0,199,0,0
205.0,199,0,0
208.0,199,0,0
211.0,199,0,0
214.0,199,0,0
217.0,199,0,0
220.0,200,0,0
223.0,200,0,0
226.0,200,0,0
229.0,200,0,0
232.0,200,0,0
235.0,200,0,0
238.0,200,0,0
241.0,200,0,0
244.0,200,0,0
247.0,200,0,0
250.0,200,0,0
253.0,201,0,0
256.0,201,0,0
259.0,201,0,0
262.0,201,0,0
265.0,201,0,0
268.0,201,0,0
271.0,201,0,0
274.0,201,0,0
277.0,201,0,0
280.0,201,0,0
283.0,202,0,0
286.0,202,0,0
289.0,202,0,0
292.0,202,0,0
295.0,202,0,0
298.0,202,0,0
301.0,202,0,0
304.0,202,0,0
307.0,202,0,0
310.0,202,0,0
313.0,202,0,0
316.0,203,0,0
319.0,203,0,0
322.0,203,0,0
325.0,203,0,0
328.0,203,0,0
331.0,203,0,0
334.0,203,0,0
337.0,203,0,0
340.0,203,0,0
343.0,203,0,0
346.0,204,0,0
349.0,204,0,0
352.0,204,0,0
355.0,204,0,0
358.0,204,0,0
361.0,204,0,0
364.0,204,0,0
367.0,204,0,0
370.0,204,0,0
373.0,204,0,0
376.0,204,0,0
379.0,205,0,0
382.0,205,0,0
385.0,205,0,0
388.0,205,0,0
391.0,205,0,0
394.0,205,0,0
397.0,205,0,0
400.0,205,0,0
403.0,205,0,0
406.0,205,0,0
409.0,206,0,0
412.0,206,0,0
415.0,206,0,0
418.0,206,0,0
421.0,206,0,0
424.0,206,0,0
427.0,206,0,0
430.0,206,0,0
433.0,206,0,0
436.0,207,0,0
439.0,207,0,0
442.0,207,0,0
445.0,207,0,0
448.0,207,0,0
451.0,207,0,0
454.0,207,0,0
457.0,207,0,0
460.0,207,0,0
463.0,207,0,0
466.0,208,0,0
469.0,208,0,0
472.0,208,0,0
475.0,208,0,0
478.0,208,0,0
481.0,208,0,0
484.0,208,0,0
487.0,208,0,0
490.0,208,0,0
493.0,208,0,0
496.0,209,0,0
499.0,209,0,0
502.0,209,0,0
505.0,209,0,0
508.0,209,0,0
511.0,209,0,0
514.0,209,0,0
517.0,209,0,0
520.0,210,0,0
523.0,210,0,0
526.0,210,0,0
529.0,210,0,0
532.0,210,0,0
535.0,210,0,0
538.0,210,0,0
541.0,210,0,0
544.0,210,0,0
547.0,211,0,0
550.0,211,0,0
553.0,211,0,0
556.0,211,0,0
559.0,211,0,0
562.0,211,0,0
565.0,211,0,0
568.0,211,0,0
571.0,211,0,0
574.0,211,0,0
577.0,211,0,0
580.0,212,0,0
583.0,212,0,0
586.0,212,0,0
589.0,212,0,0
592.0,212,0,0
595.0,212,0,0
598.0,212,0,0
601.0,213,0,0
604.0,213,0,0
607.0,213,0,0
610.0,213,0,0
613.0,213,0,0
616.0,213,0,0
619.0,213,0,0
622.0,213,0,0
625.0,213,0,0
628.0,214,0,0
631.0,214,0,0
634.0,214,0,0
637.0,214,0,0
640.0,214,0,0
643.0,214,0,0
646.0,214,0,0
649.0,214,0,0
652.0,215,0,0
655.0,215,0,0
658.0,215,0,0
661.0,215,0,0
664.0,215,0,0
667.0,215,0,0
670.0,215,0,0
673.0,215,0,0
676.0,216,0,0
679.0,216,0,0
682.0,216,0,0
685.0,216,0,0
688.0,216,0,0
691.0,216,0,0
694.0,216,0,0
697.0,216,0,0
700.0,217,0,0
703.0,217,0,0
706.0,217,0,0
709.0,217,0,0
712.0,217,0,0
715.0,217,0,0
718.0,217,0,0
721.0,217,0,0
724.0,218,0,0
727.0,218,0,0
730.0,218,0,0
733.0,218,0,0
736.0,218,0,0
739.0,218,0,0
742.0,218,0,0
745.0,218,0,0
748.0,218,0,0
751.0,219,0,0
754.0,219,0,0
757.0,219,0,0
760.0,219,0,0
763.0,219,0,0
766.0,219,0,0
769.0,220,0,0
772.0,220,0,0
775.0,220,0,0
778.0,220,0,0
781.0,220,0,0
784.0,220,0,0
787.0,220,0,0
790.0,220,0,0
793.0,220,0,0
796.0,220,0,0
799.0,221,0,0
802.0,221,0,0
805.0,221,0,0
808.0,221,0,0
811.0,221,0,0
814.0,222,0,0
817.0,222,0,0
820.0,222,0,0
823.0,222,0,0
826.0,222,0,0
829.0,222,0,0
832.0,222,0,0
835.0,223,0,0
838.0,223,0,0
841.0,223,0,0
844.0,223,0,0
847.0,223,0,0
850.0,223,0,0
853.0,223,0,0
856.0,224,0,0
859.0,224,0,0
862.0,224,0,0
865.0,224,0,0
868.0,224,0,0
871.0,224,0,0
874.0,224,0,0
877.0,225,0,0
880.0,225,0,0
883.0,225,0,0
886.0,225,0,0
889.0,225,0,0
892.0,225,0,0
895.0,225,0,0
898.0,226,0,0
901.0,226,0,0
904.0,226,0,0
907.0,226,0,0
910.0,226,0,0
913.0,226,0,0
914.0,226,0,0
